line_no,category
5,fees
6,rent
7,retail
8,debit_order
9,retail
10,retail
11,retail
12,cash
13,retail
14,retail
15,retail
16,retail
17,retail
18,retail
19,retail
20,salary
21,retail
22,retail
23,retail
24,retail
25,debit_order
26,retail
27,cash
28,retail
29,fees
30,rent
31,debit_order
32,retail
33,retail
34,retail
35,retail
36,retail
37,retail
38,retail
39,retail
40,retail
41,retail
42,retail
43,retail
44,transfer
45,retail
46,retail
47,cash
48,retail
49,cash
50,retail
51,salary
52,retail
53,retail
54,retail
55,cash
56,retail
57,retail
58,fees
59,rent
60,retail
61,retail
62,debit_order
63,retail
64,retail
65,retail
66,retail
67,retail
68,retail
69,transfer
70,retail
71,retail
72,retail
73,retail
74,retail
75,retail
76,retail
77,retail
78,retail
79,retail
80,cash
81,salary
82,retail
83,retail
84,retail
85,retail
86,retail
87,retail
88,fees
89,rent
90,debit_order
91,retail
92,retail
93,retail
94,retail
95,retail
96,retail
97,retail
98,retail
99,retail
100,retail
101,retail
102,retail
103,retail
104,retail
105,retail
106,retail
107,cash
108,salary
109,retail
110,retail
111,retail
112,retail
113,retail
114,fees
115,rent
116,retail
117,debit_order
118,retail
119,retail
120,retail
121,retail
122,retail
123,retail
124,retail
125,retail
126,transfer
127,retail
128,retail
129,retail
130,salary
131,retail
132,retail
133,retail
134,retail
135,retail
136,retail
137,retail
138,retail
139,debit_order
140,cash
141,fees
142,rent
143,debit_order
144,retail
145,retail
146,retail
147,retail
148,retail
149,retail
150,retail
151,retail
152,retail
153,transfer
154,retail
155,retail
156,retail
157,retail
158,retail
159,retail
160,retail
161,retail
162,retail
163,retail
164,retail
165,retail
166,retail
167,retail
168,salary
169,retail
170,retail
171,cash
172,cash
