line_no,category
5,fees
6,rent
7,retail
8,debit_order
9,debit_order
10,loan
11,retail
12,retail
13,retail
14,retail
15,retail
16,cash
17,retail
18,retail
19,retail
20,retail
21,retail
22,retail
23,retail
24,retail
25,salary
26,retail
27,retail
28,cash
29,retail
30,fees
31,rent
32,debit_order
33,retail
34,debit_order
35,loan
36,retail
37,retail
38,retail
39,retail
40,retail
41,cash
42,retail
43,transfer
44,retail
45,cash
46,retail
47,retail
48,retail
49,retail
50,retail
51,retail
52,retail
53,debit_order
54,retail
55,retail
56,retail
57,retail
58,retail
59,salary
60,fees
61,rent
62,debit_order
63,retail
64,debit_order
65,loan
66,retail
67,retail
68,retail
69,retail
70,retail
71,retail
72,retail
73,transfer
74,retail
75,retail
76,retail
77,retail
78,cash
79,retail
80,retail
81,salary
82,retail
83,retail
84,fees
85,rent
86,retail
87,debit_order
88,retail
89,debit_order
90,loan
91,cash
92,cash
93,cash
94,retail
95,transfer
96,retail
97,retail
98,retail
99,retail
100,retail
101,retail
102,retail
103,retail
104,retail
105,retail
106,retail
107,retail
108,retail
109,retail
110,retail
111,retail
112,salary
113,retail
114,fees
115,rent
116,retail
117,retail
118,retail
119,retail
120,debit_order
121,retail
122,debit_order
123,loan
124,retail
125,transfer
126,retail
127,retail
128,retail
129,retail
130,retail
131,retail
132,debit_order
133,cash
134,retail
135,retail
136,retail
137,retail
138,retail
139,retail
140,cash
141,salary
142,retail
143,retail
144,retail
145,retail
146,retail
147,fees
148,rent
149,retail
150,retail
151,debit_order
152,retail
153,retail
154,retail
155,debit_order
156,loan
157,retail
158,retail
159,retail
160,retail
161,retail
162,retail
163,transfer
164,retail
165,retail
166,retail
167,retail
168,retail
169,retail
170,retail
171,retail
172,retail
173,cash
174,cash
175,salary
176,retail
177,retail
