line_no,category
5,fees
6,rent
7,debit_order
8,cash
9,gambling
10,loan
11,retail
12,retail
13,retail
14,retail
15,retail
16,retail
17,retail
18,gambling
19,retail
20,retail
21,retail
22,retail
23,gambling
24,retail
25,retail
26,gambling
27,retail
28,cash
29,transfer
30,retail
31,retail
32,retail
33,retail
34,retail
35,retail
36,retail
37,retail
38,retail
39,cash
40,gambling
41,salary
42,retail
43,retail
44,gambling
45,retail
46,gambling
47,retail
48,gambling
49,fees
50,rent
51,retail
52,gambling
53,debit_order
54,loan
55,gambling
56,retail
57,retail
58,retail
59,retail
60,retail
61,retail
62,retail
63,cash
64,gambling
65,gambling
66,transfer
67,retail
68,retail
69,retail
70,retail
71,retail
72,retail
73,retail
74,retail
75,retail
76,retail
77,gambling
78,retail
79,retail
80,retail
81,retail
82,gambling
83,salary
84,retail
85,retail
86,retail
87,retail
88,retail
89,gambling
90,fees
91,rent
92,debit_order
93,loan
94,retail
95,retail
96,retail
97,cash
98,gambling
99,gambling
100,retail
101,gambling
102,retail
103,gambling
104,retail
105,retail
106,retail
107,transfer
108,retail
109,retail
110,retail
111,retail
112,retail
113,gambling
114,retail
115,retail
116,retail
117,salary
118,retail
119,retail
120,retail
121,retail
122,retail
123,retail
124,retail
125,retail
126,retail
127,retail
128,gambling
129,gambling
130,retail
131,cash
132,gambling
133,fees
134,rent
135,retail
136,retail
137,debit_order
138,gambling
139,loan
140,retail
141,retail
142,retail
143,retail
144,retail
145,gambling
146,retail
147,gambling
148,retail
149,retail
150,gambling
151,retail
152,retail
153,gambling
154,retail
155,gambling
156,cash
157,gambling
158,salary
159,retail
160,cash
161,cash
162,gambling
163,retail
164,retail
165,gambling
166,gambling
