line_no,category
5,fees
6,rent
7,debit_order
8,debit_order
9,debit_order
10,retail
11,other
12,debit_order
13,cash
14,retail
15,retail
16,retail
17,transfer
18,retail
19,debit_order
20,retail
21,retail
22,retail
23,retail
24,cash
25,salary
26,retail
27,retail
28,retail
29,retail
30,fees
31,rent
32,debit_order
33,debit_order
34,retail
35,debit_order
36,retail
37,retail
38,other
39,retail
40,retail
41,retail
42,retail
43,retail
44,retail
45,retail
46,retail
47,retail
48,cash
49,retail
50,cash
51,debit_order
52,retail
53,retail
54,retail
55,debit_order
56,retail
57,retail
58,salary
59,retail
60,retail
61,cash
62,retail
63,retail
64,fees
65,rent
66,debit_order
67,debit_order
68,debit_order
69,retail
70,other
71,retail
72,retail
73,retail
74,retail
75,retail
76,retail
77,retail
78,retail
79,retail
80,retail
81,retail
82,cash
83,salary
84,cash
85,retail
86,retail
87,retail
88,retail
89,fees
90,rent
91,retail
92,debit_order
93,debit_order
94,retail
95,retail
96,cash
97,debit_order
98,other
99,retail
100,transfer
101,retail
102,retail
103,retail
104,retail
105,retail
106,retail
107,retail
108,retail
109,debit_order
110,retail
111,retail
112,salary
113,retail
114,retail
115,retail
116,retail
117,retail
118,cash
119,retail
120,fees
121,rent
122,debit_order
123,debit_order
124,debit_order
125,retail
126,retail
127,other
128,retail
129,retail
130,retail
131,retail
132,retail
133,cash
134,retail
135,retail
136,retail
137,retail
138,cash
139,retail
140,salary
141,retail
142,retail
143,retail
144,retail
145,fees
146,rent
147,debit_order
148,debit_order
149,retail
150,debit_order
151,retail
152,retail
153,retail
154,other
155,retail
156,retail
157,transfer
158,retail
159,retail
160,retail
161,retail
162,retail
163,retail
164,cash
165,retail
166,retail
167,retail
168,retail
169,retail
170,retail
171,retail
172,retail
173,cash
174,salary
175,retail
176,retail
177,retail
178,retail
179,cash
180,retail
