line_no,category
5,fees
6,rent
7,debit_order
8,cash
9,debit_order
10,loan
11,debit_order
12,retail
13,retail
14,retail
15,retail
16,retail
17,retail
18,retail
19,retail
20,retail
21,retail
22,retail
23,retail
24,cash
25,retail
26,retail
27,retail
28,retail
29,retail
30,retail
31,retail
32,retail
33,retail
34,retail
35,retail
36,cash
37,retail
38,retail
39,salary
40,retail
41,fees
42,rent
43,debit_order
44,retail
45,debit_order
46,loan
47,retail
48,retail
49,debit_order
50,retail
51,retail
52,cash
53,retail
54,debit_order
55,transfer
56,retail
57,retail
58,retail
59,retail
60,retail
61,retail
62,retail
63,debit_order
64,retail
65,salary
66,cash
67,retail
68,retail
69,retail
70,retail
71,retail
72,retail
73,fees
74,rent
75,retail
76,cash
77,debit_order
78,debit_order
79,loan
80,debit_order
81,retail
82,retail
83,retail
84,retail
85,retail
86,retail
87,retail
88,retail
89,retail
90,retail
91,retail
92,debit_order
93,retail
94,retail
95,retail
96,cash
97,retail
98,retail
99,salary
100,retail
101,retail
102,retail
103,retail
104,retail
105,retail
106,retail
