line_no,category
5,fees
6,rent
7,debit_order
8,debit_order
9,loan
10,debit_order
11,retail
12,transfer
13,retail
14,retail
15,retail
16,retail
17,retail
18,retail
19,retail
20,cash
21,retail
22,retail
23,retail
24,retail
25,retail
26,retail
27,retail
28,retail
29,retail
30,salary
31,retail
32,retail
33,retail
34,retail
35,fees
36,rent
37,retail
38,debit_order
39,retail
40,debit_order
41,loan
42,debit_order
43,retail
44,transfer
45,retail
46,retail
47,retail
48,retail
49,retail
50,retail
51,retail
52,retail
53,retail
54,retail
55,retail
56,retail
57,retail
58,retail
59,cash
60,salary
61,retail
62,retail
63,retail
64,retail
65,retail
66,fees
67,rent
68,retail
69,retail
70,retail
71,debit_order
72,debit_order
73,loan
74,debit_order
75,retail
76,transfer
77,retail
78,retail
79,retail
80,cash
81,retail
82,retail
83,retail
84,retail
85,retail
86,cash
87,retail
88,retail
89,retail
90,salary
91,retail
92,retail
93,retail
94,retail
95,cash
96,retail
97,retail
98,retail
99,retail
100,fees
101,rent
102,retail
103,retail
104,debit_order
105,debit_order
106,loan
107,retail
108,retail
109,debit_order
110,retail
111,transfer
112,retail
113,retail
114,transfer
115,retail
116,retail
117,retail
118,cash
119,retail
120,retail
121,retail
122,retail
123,retail
124,retail
125,retail
126,retail
127,retail
128,retail
129,retail
130,retail
131,retail
132,salary
133,retail
134,retail
135,retail
136,fees
137,rent
138,debit_order
139,debit_order
140,loan
141,debit_order
142,transfer
143,retail
144,retail
145,retail
146,retail
147,retail
148,retail
149,retail
150,cash
151,retail
152,retail
153,retail
154,retail
155,retail
156,retail
157,retail
158,retail
159,retail
160,retail
161,retail
162,retail
163,retail
164,retail
165,salary
166,retail
167,retail
168,retail
169,retail
170,fees
171,rent
172,debit_order
173,retail
174,retail
175,debit_order
176,loan
177,debit_order
178,retail
179,retail
180,transfer
181,retail
182,retail
183,retail
184,cash
185,retail
186,retail
187,retail
188,retail
189,retail
190,retail
191,retail
192,salary
193,retail
194,retail
195,retail
196,debit_order
197,retail
198,retail
