line_no,category
5,fees
6,rent
7,debit_order
8,retail
9,debit_order
10,loan
11,debit_order
12,cash
13,retail
14,retail
15,retail
16,retail
17,retail
18,retail
19,retail
20,retail
21,cash
22,retail
23,retail
24,retail
25,retail
26,retail
27,retail
28,retail
29,cash
30,retail
31,retail
32,salary
33,retail
34,retail
35,transfer
36,retail
37,retail
38,retail
39,fees
40,rent
41,retail
42,retail
43,debit_order
44,retail
45,retail
46,debit_order
47,loan
48,retail
49,debit_order
50,retail
51,retail
52,retail
53,retail
54,retail
55,transfer
56,retail
57,retail
58,retail
59,retail
60,retail
61,retail
62,retail
63,retail
64,retail
65,retail
66,debit_order
67,retail
68,salary
69,retail
70,cash
71,transfer
72,retail
73,retail
74,retail
75,cash
76,cash
77,fees
78,rent
79,debit_order
80,retail
81,debit_order
82,loan
83,retail
84,retail
85,debit_order
86,retail
87,retail
88,retail
89,retail
90,retail
91,retail
92,retail
93,retail
94,retail
95,retail
96,retail
97,retail
98,cash
99,retail
100,retail
101,retail
102,retail
103,retail
104,retail
105,salary
106,transfer
107,retail
108,retail
109,retail
110,retail
111,retail
112,fees
113,rent
114,debit_order
115,retail
116,retail
117,debit_order
118,loan
119,retail
120,retail
121,debit_order
122,retail
123,retail
124,retail
125,retail
126,retail
127,retail
128,retail
129,retail
130,retail
131,transfer
132,retail
133,retail
134,retail
135,retail
136,retail
137,retail
138,retail
139,retail
140,cash
141,cash
142,retail
143,salary
144,transfer
145,retail
146,debit_order
147,retail
148,retail
149,retail
150,fees
151,rent
152,retail
153,debit_order
154,debit_order
155,loan
156,debit_order
157,retail
158,retail
159,retail
160,retail
161,retail
162,retail
163,debit_order
164,retail
165,retail
166,retail
167,retail
168,cash
169,retail
170,salary
171,transfer
172,retail
173,fees
174,rent
175,debit_order
176,debit_order
177,loan
178,retail
179,debit_order
180,retail
181,retail
182,retail
183,retail
184,retail
185,retail
186,retail
187,retail
188,retail
189,retail
190,retail
191,retail
192,retail
193,retail
194,retail
195,salary
196,retail
197,transfer
198,retail
199,retail
200,cash
