line_no,category
5,fees
6,rent
7,retail
8,retail
9,debit_order
10,retail
11,retail
12,debit_order
13,loan
14,retail
15,retail
16,retail
17,retail
18,retail
19,retail
20,retail
21,retail
22,retail
23,retail
24,retail
25,retail
26,retail
27,debit_order
28,retail
29,salary
30,retail
31,retail
32,cash
33,retail
34,retail
35,retail
36,fees
37,rent
38,retail
39,retail
40,debit_order
41,debit_order
42,loan
43,retail
44,retail
45,retail
46,retail
47,cash
48,retail
49,retail
50,salary
51,retail
52,retail
53,retail
54,retail
55,retail
56,retail
57,retail
58,retail
59,retail
60,retail
61,fees
62,rent
63,retail
64,debit_order
65,retail
66,retail
67,debit_order
68,loan
69,debit_order
70,retail
71,retail
72,retail
73,retail
74,debit_order
75,retail
76,cash
77,retail
78,retail
79,retail
80,retail
81,retail
82,retail
83,cash
84,retail
85,retail
86,retail
87,retail
88,retail
89,retail
90,salary
91,retail
92,retail
93,retail
94,fees
95,rent
96,retail
97,debit_order
98,debit_order
99,loan
100,cash
101,retail
102,retail
103,retail
104,retail
105,cash
106,retail
107,cash
108,transfer
109,retail
110,retail
111,retail
112,retail
113,retail
114,retail
115,retail
116,debit_order
117,salary
118,retail
119,retail
120,fees
121,rent
122,cash
123,debit_order
124,debit_order
125,loan
126,retail
127,retail
128,retail
129,retail
130,retail
131,retail
132,retail
133,retail
134,cash
135,retail
136,retail
137,retail
138,retail
139,retail
140,transfer
141,debit_order
142,retail
143,cash
144,retail
145,salary
146,retail
147,retail
148,retail
149,retail
150,retail
151,fees
152,rent
153,debit_order
154,retail
155,debit_order
156,loan
157,retail
158,retail
159,retail
160,retail
161,retail
162,retail
163,retail
164,retail
165,retail
166,retail
167,retail
168,retail
169,retail
170,retail
171,retail
172,debit_order
173,cash
174,retail
175,salary
176,retail
177,retail
178,retail
179,retail
180,retail
181,retail
