line_no,category
5,fees
6,rent
7,cash
8,debit_order
9,debit_order
10,loan
11,debit_order
12,retail
13,retail
14,retail
15,cash
16,transfer
17,retail
18,retail
19,retail
20,retail
21,retail
22,retail
23,retail
24,transfer
25,retail
26,retail
27,debit_order
28,retail
29,retail
30,retail
31,salary
32,transfer
33,retail
34,retail
35,retail
36,retail
37,fees
38,rent
39,retail
40,debit_order
41,debit_order
42,loan
43,retail
44,retail
45,debit_order
46,retail
47,retail
48,transfer
49,retail
50,retail
51,transfer
52,retail
53,retail
54,retail
55,retail
56,cash
57,retail
58,retail
59,retail
60,retail
61,retail
62,retail
63,retail
64,retail
65,cash
66,retail
67,retail
68,retail
69,salary
70,retail
71,retail
72,transfer
73,retail
74,retail
75,fees
76,rent
77,debit_order
78,debit_order
79,loan
80,debit_order
81,cash
82,transfer
83,retail
84,retail
85,retail
86,retail
87,retail
88,retail
89,debit_order
90,retail
91,retail
92,debit_order
93,retail
94,retail
95,retail
96,retail
97,retail
98,retail
99,retail
100,retail
101,salary
102,retail
103,transfer
104,retail
105,retail
106,retail
107,retail
108,retail
109,retail
110,retail
111,fees
112,rent
113,retail
114,debit_order
115,retail
116,debit_order
117,loan
118,debit_order
119,retail
120,retail
121,transfer
122,retail
123,retail
124,retail
125,retail
126,retail
127,retail
128,cash
129,retail
130,retail
131,retail
132,retail
133,retail
134,retail
135,retail
136,debit_order
137,retail
138,debit_order
139,retail
140,retail
141,retail
142,salary
143,transfer
144,fees
145,rent
146,retail
147,debit_order
148,debit_order
149,loan
150,debit_order
151,transfer
152,retail
153,retail
154,retail
155,retail
156,cash
157,cash
158,cash
159,retail
160,transfer
161,retail
162,retail
163,salary
164,retail
165,transfer
166,retail
167,retail
168,retail
169,retail
170,retail
171,fees
172,rent
173,debit_order
174,debit_order
175,loan
176,retail
177,debit_order
178,retail
179,retail
180,transfer
181,retail
182,retail
183,retail
184,retail
185,cash
186,retail
187,retail
188,retail
189,retail
190,retail
191,retail
192,retail
193,cash
194,salary
195,transfer
196,retail
197,retail
198,retail
199,retail
