line_no,category
5,fees
6,rent
7,retail
8,debit_order
9,retail
10,debit_order
11,loan
12,retail
13,debit_order
14,retail
15,retail
16,retail
17,retail
18,retail
19,retail
20,retail
21,retail
22,retail
23,retail
24,retail
25,retail
26,retail
27,retail
28,retail
29,salary
30,retail
31,retail
32,transfer
33,retail
34,retail
35,retail
36,retail
37,cash
38,retail
39,retail
40,retail
41,fees
42,rent
43,retail
44,debit_order
45,retail
46,debit_order
47,loan
48,debit_order
49,retail
50,retail
51,retail
52,retail
53,retail
54,retail
55,retail
56,retail
57,retail
58,retail
59,retail
60,retail
61,retail
62,retail
63,retail
64,cash
65,retail
66,retail
67,debit_order
68,retail
69,salary
70,transfer
71,retail
72,retail
73,retail
74,retail
75,retail
76,fees
77,rent
78,retail
79,retail
80,debit_order
81,debit_order
82,loan
83,retail
84,debit_order
85,retail
86,retail
87,retail
88,retail
89,retail
90,retail
91,retail
92,retail
93,debit_order
94,retail
95,retail
96,retail
97,retail
98,cash
99,retail
100,retail
101,retail
102,retail
103,retail
104,retail
105,retail
106,retail
107,salary
108,transfer
109,retail
110,retail
111,retail
112,cash
113,fees
114,rent
115,retail
116,cash
117,debit_order
118,retail
119,retail
120,debit_order
121,loan
122,debit_order
123,retail
124,retail
125,retail
126,retail
127,debit_order
128,retail
129,cash
130,retail
131,retail
132,retail
133,salary
134,retail
135,retail
136,transfer
137,retail
138,retail
139,retail
140,retail
141,retail
142,debit_order
143,fees
144,rent
145,debit_order
146,retail
147,debit_order
148,loan
149,debit_order
150,cash
151,retail
152,retail
153,retail
154,retail
155,retail
156,retail
157,cash
158,transfer
159,retail
160,retail
161,retail
162,retail
163,retail
164,retail
165,retail
166,salary
167,retail
168,transfer
169,retail
170,retail
171,retail
172,retail
173,retail
174,retail
175,fees
176,rent
177,debit_order
178,debit_order
179,loan
180,retail
181,retail
182,retail
183,debit_order
184,retail
185,retail
186,retail
187,retail
188,debit_order
189,transfer
190,retail
191,retail
192,retail
193,retail
194,retail
195,retail
196,salary
197,transfer
198,retail
199,cash
200,retail
201,retail
202,retail
