line_no,category
5,fees
6,rent
7,retail
8,debit_order
9,cash
10,debit_order
11,loan
12,retail
13,debit_order
14,loan
15,retail
16,debit_order
17,retail
18,retail
19,retail
20,retail
21,retail
22,retail
23,retail
24,retail
25,cash
26,cash
27,retail
28,retail
29,retail
30,retail
31,salary
32,retail
33,retail
34,retail
35,debit_order
36,retail
37,retail
38,retail
39,retail
40,fees
41,rent
42,debit_order
43,retail
44,retail
45,debit_order
46,loan
47,debit_order
48,loan
49,retail
50,retail
51,retail
52,retail
53,retail
54,retail
55,retail
56,retail
57,cash
58,retail
59,retail
60,retail
61,retail
62,salary
63,cash
64,retail
65,retail
66,retail
67,retail
68,cash
69,fees
70,rent
71,debit_order
72,retail
73,debit_order
74,loan
75,debit_order
76,loan
77,retail
78,retail
79,cash
80,retail
81,retail
82,retail
83,retail
84,transfer
85,retail
86,retail
87,retail
88,salary
89,retail
90,retail
91,retail
92,retail
93,cash
94,cash
95,retail
96,retail
97,fees
98,rent
99,retail
100,debit_order
101,retail
102,debit_order
103,loan
104,debit_order
105,loan
106,retail
107,retail
108,retail
109,retail
110,retail
111,retail
112,retail
113,retail
114,cash
115,retail
116,retail
117,retail
118,retail
119,retail
120,retail
121,salary
122,retail
123,fees
124,rent
125,retail
126,retail
127,debit_order
128,retail
129,retail
130,retail
131,debit_order
132,loan
133,retail
134,debit_order
135,loan
136,retail
137,retail
138,retail
139,retail
140,retail
141,retail
142,retail
143,cash
144,transfer
145,retail
146,retail
147,retail
148,retail
149,retail
150,retail
151,retail
152,retail
153,retail
154,retail
155,retail
156,salary
157,retail
158,retail
159,retail
160,fees
161,rent
162,retail
163,debit_order
164,retail
165,debit_order
166,loan
167,debit_order
168,loan
169,retail
170,retail
171,retail
172,retail
173,retail
174,retail
175,retail
176,retail
177,retail
178,retail
179,retail
180,retail
181,retail
182,cash
183,cash
184,retail
185,retail
186,retail
187,retail
188,salary
189,retail
190,cash
191,retail
192,retail
193,retail
194,retail
195,retail
196,debit_order
