line_no,category
5,fees
6,rent
7,debit_order
8,debit_order
9,loan
10,retail
11,debit_order
12,retail
13,retail
14,retail
15,retail
16,debit_order
17,retail
18,transfer
19,retail
20,cash
21,retail
22,debit_order
23,cash
24,retail
25,retail
26,retail
27,retail
28,debit_order
29,retail
30,retail
31,retail
32,retail
33,retail
34,salary
35,cash
36,retail
37,retail
38,retail
39,retail
40,fees
41,rent
42,retail
43,debit_order
44,retail
45,debit_order
46,loan
47,retail
48,debit_order
49,retail
50,cash
51,retail
52,retail
53,retail
54,retail
55,retail
56,retail
57,retail
58,retail
59,retail
60,retail
61,retail
62,retail
63,retail
64,retail
65,retail
66,retail
67,retail
68,cash
69,retail
70,retail
71,salary
72,retail
73,retail
74,retail
75,retail
76,cash
77,fees
78,rent
79,retail
80,retail
81,retail
82,debit_order
83,debit_order
84,loan
85,debit_order
86,retail
87,debit_order
88,retail
89,retail
90,retail
91,retail
92,retail
93,retail
94,retail
95,retail
96,cash
97,retail
98,cash
99,retail
100,retail
101,retail
102,salary
103,retail
104,fees
105,rent
106,retail
107,retail
108,debit_order
109,retail
110,debit_order
111,loan
112,retail
113,debit_order
114,retail
115,retail
116,retail
117,transfer
118,retail
119,cash
120,retail
121,cash
122,retail
123,retail
124,retail
125,retail
126,retail
127,salary
128,retail
129,retail
130,retail
131,retail
132,fees
133,rent
134,retail
135,retail
136,debit_order
137,debit_order
138,loan
139,retail
140,cash
141,debit_order
142,retail
143,retail
144,retail
145,retail
146,retail
147,retail
148,cash
149,retail
150,retail
151,retail
152,transfer
153,retail
154,retail
155,retail
156,retail
157,salary
158,retail
159,retail
160,cash
161,retail
162,retail
163,retail
164,retail
165,fees
166,rent
167,debit_order
168,debit_order
169,loan
170,debit_order
171,retail
172,retail
173,retail
174,retail
175,transfer
176,retail
177,retail
178,retail
179,retail
180,retail
181,retail
182,cash
183,retail
184,retail
185,retail
186,retail
187,retail
188,retail
189,salary
190,retail
191,retail
192,retail
193,retail
194,retail
195,retail
196,cash
197,cash
