line_no,category
5,fees
6,rent
7,debit_order
8,retail
9,debit_order
10,loan
11,debit_order
12,cash
13,retail
14,retail
15,retail
16,retail
17,retail
18,retail
19,retail
20,retail
21,cash
22,retail
23,retail
24,retail
25,retail
26,retail
27,retail
28,retail
29,cash
30,retail
31,retail
32,salary
33,retail
34,retail
35,transfer
36,retail
37,retail
38,retail
39,fees
40,rent
41,retail
42,retail
43,debit_order
44,retail
45,retail
46,debit_order
47,loan
48,retail
49,debit_order
50,retail
51,retail
52,retail
53,retail
54,retail
55,transfer
56,retail
57,retail
58,retail
59,retail
60,retail
61,retail
62,retail
63,retail
64,retail
65,retail
66,debit_order
67,retail
68,salary
69,retail
70,cash
71,salary
72,transfer
73,retail
74,retail
75,retail
76,cash
77,cash
78,fees
79,rent
80,debit_order
81,retail
82,debit_order
83,loan
84,retail
85,retail
86,debit_order
87,retail
88,retail
89,retail
90,retail
91,retail
92,retail
93,retail
94,retail
95,retail
96,retail
97,retail
98,retail
99,cash
100,retail
101,retail
102,retail
103,retail
104,retail
105,retail
106,salary
107,transfer
108,retail
109,retail
110,retail
111,retail
112,retail
113,fees
114,rent
115,debit_order
116,retail
117,retail
118,debit_order
119,loan
120,retail
121,retail
122,debit_order
123,retail
124,retail
125,retail
126,retail
127,retail
128,retail
129,retail
130,retail
131,retail
132,transfer
133,retail
134,retail
135,retail
136,retail
137,retail
138,retail
139,retail
140,retail
141,cash
142,cash
143,retail
144,salary
145,transfer
146,retail
147,debit_order
148,retail
149,retail
150,retail
151,fees
152,rent
153,retail
154,debit_order
155,debit_order
156,loan
157,debit_order
158,retail
159,retail
160,retail
161,retail
162,retail
163,retail
164,debit_order
165,retail
166,retail
167,retail
168,retail
169,cash
170,retail
171,salary
172,transfer
173,retail
174,fees
175,rent
176,debit_order
177,debit_order
178,loan
179,retail
180,debit_order
181,retail
182,retail
183,retail
184,retail
185,retail
186,retail
187,retail
188,retail
189,retail
190,retail
191,retail
192,retail
193,retail
194,retail
195,retail
196,salary
197,retail
198,transfer
199,retail
200,retail
201,cash
